date,Close,High,Low,Open,Volume,aVWAP_peak_914,aVWAP_valley_904
2024-01-24 00:00:00+00:00,3.42,3.58,3.385,3.46,4705191,,
2024-01-25 00:00:00+00:00,3.32,3.48,3.3,3.44,1897307,,
2024-01-26 00:00:00+00:00,3.28,3.407,3.27,3.33,1052316,,
2024-01-29 00:00:00+00:00,3.44,3.45,3.2,3.29,1805017,,
2024-01-30 00:00:00+00:00,3.24,3.41,3.24,3.4,1469306,,
2024-01-31 00:00:00+00:00,3.28,3.37,3.24,3.26,7260719,,
2024-02-01 00:00:00+00:00,3.35,3.655,3.27,3.37,5575626,,
2024-02-02 00:00:00+00:00,3.27,3.32,3.185,3.32,2555173,,
2024-02-05 00:00:00+00:00,3.02,3.2,2.96,3.2,3594993,,
2024-02-06 00:00:00+00:00,3.17,3.18,2.965,3.0,2332971,,
2024-02-07 00:00:00+00:00,3.13,3.24,3.105,3.18,2521484,,
2024-02-08 00:00:00+00:00,3.15,3.19,3.08,3.1,1621541,,
2024-02-09 00:00:00+00:00,3.23,3.26,3.13,3.15,1945676,,
2024-02-12 00:00:00+00:00,3.33,3.395,3.22,3.23,3419964,,
2024-02-13 00:00:00+00:00,3.07,3.21,3.03,3.2,2307454,,
2024-02-14 00:00:00+00:00,3.24,3.25,3.085,3.09,2553412,,
2024-02-15 00:00:00+00:00,3.26,3.325,3.215,3.24,2380888,,
2024-02-16 00:00:00+00:00,3.24,3.27,3.15,3.2,1836065,,
2024-02-20 00:00:00+00:00,3.11,3.19,3.07,3.17,2732795,,
2024-02-21 00:00:00+00:00,3.07,3.115,3.02,3.05,1527555,,
2024-02-22 00:00:00+00:00,2.99,3.1,2.98,3.09,3517760,,
2024-02-23 00:00:00+00:00,2.93,3.015,2.87,2.98,2094184,,
2024-02-26 00:00:00+00:00,2.93,2.98,2.87,2.91,1595515,,
2024-02-27 00:00:00+00:00,3.11,3.11,2.95,2.97,3319179,,
2024-02-28 00:00:00+00:00,3.05,3.115,3.04,3.06,2220856,,
2024-02-29 00:00:00+00:00,3.14,3.26,3.08,3.11,3764014,,
2024-03-01 00:00:00+00:00,3.22,3.29,3.06,3.08,2970112,,
2024-03-04 00:00:00+00:00,3.2,3.24,3.13,3.22,2091177,,
2024-03-05 00:00:00+00:00,3.15,3.23,3.12,3.17,3009111,,
2024-03-06 00:00:00+00:00,3.24,3.32,3.19,3.2,2805197,,
2024-03-07 00:00:00+00:00,3.24,3.29,3.21,3.25,1842872,,
2024-03-08 00:00:00+00:00,3.31,3.37,3.24,3.24,4407634,,
2024-03-11 00:00:00+00:00,3.0,3.36,2.97,3.36,5650562,,
2024-03-12 00:00:00+00:00,2.875,3.02,2.82,3.02,3112695,,
2024-03-13 00:00:00+00:00,2.79,2.88,2.745,2.85,5053800,,
2024-03-14 00:00:00+00:00,2.73,2.835,2.7,2.83,4431782,,
2024-03-15 00:00:00+00:00,2.78,2.8,2.66,2.74,3827909,,
2024-03-18 00:00:00+00:00,2.74,2.81,2.715,2.78,2085869,,
2024-03-19 00:00:00+00:00,2.75,2.76,2.68,2.7,2348063,,
2024-03-20 00:00:00+00:00,2.85,2.89,2.66,2.72,3225964,,
2024-03-21 00:00:00+00:00,2.85,2.9,2.81,2.86,2233122,,
2024-03-22 00:00:00+00:00,2.77,2.835,2.75,2.83,1808032,,
2024-03-25 00:00:00+00:00,2.72,2.8693,2.72,2.76,1832106,,
2024-03-26 00:00:00+00:00,2.66,2.7699,2.66,2.74,1667320,,
2024-03-27 00:00:00+00:00,2.78,2.8,2.665,2.715,2495920,,
2024-03-28 00:00:00+00:00,2.78,2.8488,2.77,2.8,2250869,,
2024-04-01 00:00:00+00:00,3.27,3.31,3.005,3.13,16860902,,
2024-04-02 00:00:00+00:00,3.13,3.226,3.09,3.19,4319581,,
2024-04-03 00:00:00+00:00,3.24,3.24,3.07,3.13,2777382,,
2024-04-04 00:00:00+00:00,3.19,3.365,3.15,3.27,4091058,,
2024-04-05 00:00:00+00:00,3.15,3.225,3.1,3.17,1957020,,
2024-04-08 00:00:00+00:00,3.14,3.2281,3.09,3.17,1746091,,
2024-04-09 00:00:00+00:00,3.26,3.38,3.175,3.18,4436769,,
2024-04-10 00:00:00+00:00,3.15,3.18,3.07,3.11,2326375,,
2024-04-11 00:00:00+00:00,3.08,3.205,3.04,3.16,1421738,,
2024-04-12 00:00:00+00:00,2.94,3.1,2.94,3.03,1883645,,
2024-04-15 00:00:00+00:00,2.79,2.965,2.76,2.94,2590793,,
2024-04-16 00:00:00+00:00,2.72,2.8,2.71,2.78,3140250,,
2024-04-17 00:00:00+00:00,2.72,2.76,2.67,2.74,2105319,,
2024-04-18 00:00:00+00:00,2.69,2.78,2.67,2.74,1502390,,
2024-04-19 00:00:00+00:00,2.63,2.7,2.6,2.66,2715724,,
2024-04-22 00:00:00+00:00,2.58,2.67,2.53,2.67,3408349,,
2024-04-23 00:00:00+00:00,2.61,2.705,2.56,2.61,2427623,,
2024-04-24 00:00:00+00:00,2.54,2.625,2.51,2.61,2125123,,
2024-04-25 00:00:00+00:00,2.47,2.51,2.42,2.51,2728626,,
2024-04-26 00:00:00+00:00,2.6,2.6,2.4797,2.5,2283569,,
2024-04-29 00:00:00+00:00,2.69,2.74,2.59,2.59,3551460,,
2024-04-30 00:00:00+00:00,2.63,2.69,2.61,2.66,1854808,,
2024-05-01 00:00:00+00:00,2.66,2.78,2.59,2.64,2916288,,
2024-05-02 00:00:00+00:00,2.73,2.74,2.61,2.7,2548500,,
2024-05-03 00:00:00+00:00,2.81,2.88,2.775,2.78,2600393,,
2024-05-06 00:00:00+00:00,2.83,2.91,2.825,2.86,2061454,,
2024-05-07 00:00:00+00:00,2.84,2.9401,2.73,2.73,4603316,,
2024-05-08 00:00:00+00:00,2.88,2.92,2.73,2.79,2988090,,
2024-05-09 00:00:00+00:00,3.07,3.13,2.87,2.87,4428247,,
2024-05-10 00:00:00+00:00,2.83,3.18,2.83,3.09,3189327,,
2024-05-13 00:00:00+00:00,3.01,3.05,2.84,2.84,2379905,,
2024-05-14 00:00:00+00:00,3.2,3.3353,3.16,3.22,4594325,,
2024-05-15 00:00:00+00:00,3.13,3.28,3.11,3.27,2205829,,
2024-05-16 00:00:00+00:00,3.14,3.175,3.09,3.1,1318576,,
2024-05-17 00:00:00+00:00,3.07,3.16,3.06,3.15,4723082,,
2024-05-20 00:00:00+00:00,3.08,3.09,3.0,3.02,1145882,,
2024-05-21 00:00:00+00:00,2.99,3.075,2.99,3.01,1085388,,
2024-05-22 00:00:00+00:00,3.11,3.21,2.95,2.98,3463096,,
2024-05-23 00:00:00+00:00,3.0,3.14,2.975,3.14,1880895,,
2024-05-24 00:00:00+00:00,3.09,3.12,2.99,2.99,1213840,,
2024-05-28 00:00:00+00:00,3.13,3.2,3.075,3.18,1966342,,
2024-05-29 00:00:00+00:00,3.03,3.11,2.99,3.08,1536325,,
2024-05-30 00:00:00+00:00,3.15,3.16,3.025,3.04,1684617,,
2024-05-31 00:00:00+00:00,3.09,3.225,3.04,3.18,1826904,,
2024-06-03 00:00:00+00:00,3.05,3.155,2.99,3.12,2174956,,
2024-06-04 00:00:00+00:00,2.92,3.02,2.9,3.02,1974308,,
2024-06-05 00:00:00+00:00,2.87,3.0,2.81,2.98,2963078,,
2024-06-06 00:00:00+00:00,2.79,2.85,2.78,2.85,2356519,,
2024-06-07 00:00:00+00:00,2.72,2.78,2.68,2.74,1951777,,
2024-06-10 00:00:00+00:00,2.79,2.815,2.66,2.69,1242124,,
2024-06-11 00:00:00+00:00,2.78,2.8,2.715,2.75,1101453,,
2024-06-12 00:00:00+00:00,2.76,2.935,2.755,2.84,2559315,,
2024-06-13 00:00:00+00:00,2.71,2.83,2.7,2.79,1344880,,
2024-06-14 00:00:00+00:00,2.58,2.7,2.58,2.68,1616113,,
2024-06-17 00:00:00+00:00,2.55,2.6,2.51,2.59,1733974,,
2024-06-18 00:00:00+00:00,2.74,2.82,2.61,2.62,5225329,,
2024-06-20 00:00:00+00:00,2.67,2.71,2.64,2.7,2037817,,
2024-06-21 00:00:00+00:00,2.58,2.72,2.51,2.67,5768716,,
2024-06-24 00:00:00+00:00,2.45,2.56,2.44,2.52,2812144,,
2024-06-25 00:00:00+00:00,2.31,2.49,2.28,2.49,4718977,,
2024-06-26 00:00:00+00:00,2.28,2.36,2.25,2.32,2597890,,
2024-06-27 00:00:00+00:00,2.29,2.31,2.25,2.29,1632019,,
2024-06-28 00:00:00+00:00,2.25,2.345,2.22,2.33,1995328,,
2024-07-01 00:00:00+00:00,2.23,2.305,2.21,2.27,1553349,,
2024-07-02 00:00:00+00:00,2.17,2.24,2.1418,2.21,2186472,,
2024-07-03 00:00:00+00:00,2.29,2.33,2.18,2.18,1740790,,
2024-07-05 00:00:00+00:00,2.34,2.35,2.275,2.31,1523482,,
2024-07-08 00:00:00+00:00,2.33,2.41,2.33,2.33,2212523,,
2024-07-09 00:00:00+00:00,2.37,2.38,2.28,2.32,1510225,,
2024-07-10 00:00:00+00:00,2.38,2.44,2.32,2.4,2008724,,
2024-07-11 00:00:00+00:00,2.48,2.52,2.41,2.42,2749984,,
2024-07-12 00:00:00+00:00,2.67,2.71,2.5,2.5,5847064,,
2024-07-15 00:00:00+00:00,2.54,2.67,2.48,2.66,3493595,,
2024-07-16 00:00:00+00:00,2.56,2.5891,2.44,2.58,5332118,,
2024-07-17 00:00:00+00:00,2.47,2.58,2.4309,2.52,2289170,,
2024-07-18 00:00:00+00:00,2.39,2.48,2.36,2.47,2517885,,
2024-07-19 00:00:00+00:00,2.29,2.4,2.29,2.4,3279176,,
2024-07-22 00:00:00+00:00,2.31,2.36,2.26,2.33,2233781,,
2024-07-23 00:00:00+00:00,2.3,2.3295,2.27,2.3,1648827,,
2024-07-24 00:00:00+00:00,2.23,2.3408,2.22,2.3,2139193,,
2024-07-25 00:00:00+00:00,2.25,2.3,2.195,2.23,1948911,,
2024-07-26 00:00:00+00:00,2.3,2.32,2.245,2.3,1493404,,
2024-07-29 00:00:00+00:00,2.24,2.31,2.18,2.3,2022733,,
2024-07-30 00:00:00+00:00,2.2,2.26,2.175,2.23,2137942,,
2024-07-31 00:00:00+00:00,2.28,2.375,2.21,2.21,3909583,,
2024-08-01 00:00:00+00:00,2.14,2.305,2.12,2.29,2601143,,
2024-08-02 00:00:00+00:00,2.03,2.07,2.0,2.06,3031199,,
2024-08-05 00:00:00+00:00,1.93,2.0,1.85,1.85,2561819,,
2024-08-06 00:00:00+00:00,1.93,2.0,1.895,2.0,2570496,,
2024-08-07 00:00:00+00:00,1.9,2.02,1.9,1.99,2628647,,
2024-08-08 00:00:00+00:00,1.98,1.985,1.9,1.93,2225531,,
2024-08-09 00:00:00+00:00,1.93,1.98,1.9,1.97,1786936,,
2024-08-12 00:00:00+00:00,1.84,1.92,1.795,1.88,6649909,,
2024-08-13 00:00:00+00:00,1.97,1.98,1.77,1.81,5349638,,
2024-08-14 00:00:00+00:00,1.83,2.03,1.82,1.98,2604160,,
2024-08-15 00:00:00+00:00,1.85,1.88,1.82,1.83,2013644,,
2024-08-16 00:00:00+00:00,1.88,1.89,1.825,1.86,1985200,,
2024-08-19 00:00:00+00:00,1.9,1.93,1.86,1.88,1821545,,
2024-08-20 00:00:00+00:00,1.85,1.91,1.81,1.9,1702280,,
2024-08-21 00:00:00+00:00,1.9,1.925,1.82,1.82,2624280,,
2024-08-22 00:00:00+00:00,1.84,1.92,1.83,1.9,2807919,,
2024-08-23 00:00:00+00:00,1.99,2.01,1.85,1.86,3543342,,
2024-08-26 00:00:00+00:00,1.9,2.04,1.88,2.03,2744299,,
2024-08-27 00:00:00+00:00,1.87,1.915,1.86,1.89,1430483,,
2024-08-28 00:00:00+00:00,1.81,1.87,1.785,1.86,2046916,,
2024-08-29 00:00:00+00:00,1.87,1.91,1.825,1.83,1919619,,
2024-08-30 00:00:00+00:00,1.84,1.9,1.79,1.87,2281510,,
2024-09-03 00:00:00+00:00,1.75,1.84,1.73,1.82,3023795,,
2024-09-04 00:00:00+00:00,1.71,1.8,1.7,1.75,1552180,,
2024-09-05 00:00:00+00:00,1.67,1.738,1.66,1.71,1804541,,
2024-09-06 00:00:00+00:00,1.67,1.68,1.61,1.68,2335354,,
2024-09-09 00:00:00+00:00,1.69,1.76,1.675,1.69,2584874,,
2024-09-10 00:00:00+00:00,1.72,1.73,1.645,1.67,1730629,,
2024-09-11 00:00:00+00:00,1.75,1.77,1.68,1.76,2675277,,
2024-09-12 00:00:00+00:00,1.72,1.77,1.665,1.77,2690654,,
2024-09-13 00:00:00+00:00,1.8,1.84,1.72,1.72,3910387,,
2024-09-16 00:00:00+00:00,1.66,1.79,1.65,1.79,2906885,,
