date,Close,High,Low,Open,Volume,aVWAP_peak_51,aVWAP_valley_42,aVWAP_valley_37,aVWAP_valley_28,aVWAP_valley_21,aVWAP_OB_bull_53,aVWAP_OB_bull_28,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-04-25 00:00:00+00:00,2.17,2.315,2.0718,2.28,9869380,,2.091003908381259,2.139584284578415,2.102122311080479,2.035471643429295,,2.102122311080479,,2.092045536867362,#000000,,2.1298212224877062,,54.023328357186266,1.5773059925807473,False,False,True,False,False,,0.0,0.0,0.0,0.0,1,0.9408433961083652,0.9968716761559158,False,False,False,False,0.09485750504730488,0.033653696145882976,False,False,False,False,1467779,-7162135.9323253995,False,False,False,False,9794584.642882312,False,False,False,False
2025-05-02 00:00:00+00:00,2.09,2.215,2.04,2.18,7347403,,2.0949539886143995,2.1379927324793795,2.102635564473983,2.037946996428247,,2.102635564473983,,2.093382320499002,#000000,,2.129333439152783,,53.30924124030589,1.5773059925807473,False,False,False,False,False,,0.0,0.0,0.0,0.0,1,0.9606806957944072,0.985058664401875,False,False,False,False,-0.007764937759028658,0.012944379193427159,False,False,False,False,-5879624,-7067135.048449444,False,False,False,False,9613311.928594735,False,False,False,False
2025-05-09 00:00:00+00:00,2.35,2.3899,2.0901,2.14,10848416,,2.1304838952401393,2.150091579605845,2.11230764527014,2.0484357083079052,,2.11230764527014,,2.110329707106007,#000000,,2.147198799165923,,54.689256524115734,1.5773059925807473,False,False,True,False,False,,0.0,0.0,0.0,0.0,1,0.9892026962409958,0.9329024694976168,False,False,False,False,0.1685183642676944,0.09073137173056078,False,False,False,False,4968792,-6175584.8967124475,False,False,False,False,9704801.1190692,False,False,False,False
2025-05-16 00:00:00+00:00,2.44,2.5,2.24,2.33,37358052,,2.2362515030430963,2.2062885242681514,2.157452092566288,2.0937621726565805,,2.157452092566288,,2.173438573133529,#000000,,2.2155788310872944,,56.25115036840049,1.5773059925807473,False,False,True,False,True,,0.0,0.0,0.0,0.0,1,1.0495730734065798,0.9008073639026205,False,False,False,False,0.3428280898248584,0.2167797307777096,False,False,False,False,42326844,-2582812.385844859,False,False,False,False,11753190.073212221,False,False,False,False
2025-05-23 00:00:00+00:00,2.79,2.8299,2.29,2.41,12032803,,2.2821898355419026,2.2360944008381427,2.1810260018904755,2.1158084832507327,,2.1810260018904755,,2.2037796803803134,#000000,,2.2494160930341374,,59.269849930299216,4.516349205994821,False,False,True,False,True,,0.0,0.0,0.0,0.0,1,1.0485461180764024,0.8627641415033257,False,False,False,False,0.3428281386786222,0.2798039347281659,False,False,False,False,54359647,1635147.5686621675,False,False,False,False,11773902.141863167,False,False,False,False
2025-05-30 00:00:00+00:00,2.89,2.965,2.77,2.8,7747391,,2.322970283454288,2.263369307251804,2.2023329203101523,2.135153514429424,,2.2023329203101523,,2.230956506361417,#000000,,2.2801041087054243,,61.8876257433132,7.05670271510909,False,False,True,False,True,17.43639193020841,0.0,0.0,0.0,0.0,0,1.1206144812952359,0.8379356451472255,False,False,False,False,0.3428281762457352,0.3113160554869505,False,False,False,False,62107038,6114546.859872377,False,False,False,False,11475642.057280712,False,False,False,False
2025-06-06 00:00:00+00:00,3.45,3.59,2.97,2.99,16683531,,2.453762634931955,2.353730963597575,2.2726800083083156,2.197653419870409,,2.2726800083083156,,2.319456756677064,#000000,,2.38075875327313,,65.79643652249509,10.767957125696931,False,False,True,False,True,20.0,0.0,0.0,0.0,0.0,0,1.1325873406759939,0.7618461288663979,False,False,False,False,0.34282819995528013,0.3270721277211153,False,False,False,False,78790569,11497955.907289237,False,False,False,False,11861411.608593252,False,False,False,False
2025-06-13 00:00:00+00:00,3.47,3.66,3.34,3.5,15681672,3.49,2.5658418640870932,2.4370556937440044,2.3397315653761055,2.257895871438191,,2.3397315653761055,3.49,2.4001312486613484,#000000,,2.7437064488647946,,68.64831020962143,13.39118486642871,False,False,True,False,True,20.0,0.0,0.0,0.0,0.0,0,1.1710606583030527,0.7626050977375806,False,False,False,False,0.3428282075383334,0.33495016762972435,False,False,False,False,94472241,17644199.247490034,False,False,False,False,12144393.859808566,False,False,False,False
2025-06-20 00:00:00+00:00,3.29,3.61,3.23,3.46,14133449,3.4362758884437645,2.6378616027206103,2.495306501456032,2.388773746439567,2.303003249642897,,2.388773746439567,3.4362758884437645,2.4562362750647764,#000000,,2.7783402066152583,,69.03161133109225,13.660609738598147,False,False,True,False,True,20.0,0.0,0.0,0.0,0.0,0,1.1638010117159854,0.7785102088957618,False,False,False,False,0.30023757313656324,0.3175938703831438,False,False,False,False,80338792,22288243.155083366,False,False,False,False,12291731.277600523,False,False,False,False
2025-06-27 00:00:00+00:00,2.83,3.04,2.815,3.0,39293352,3.1285199347890864,2.6887848421971356,2.5540679651418454,2.4476016654852772,2.36267320515095,2.895,2.4476016654852772,3.1285199347890864,2.513281919493802,#000000,,2.742997846840384,,65.84653683287709,13.660609738598147,False,False,True,False,False,11.914905091702025,1.0,3.04,2.815,0.0,0,1.1231802491370253,0.8036294962229226,False,False,False,False,0.05475407772439778,0.18617397405377079,False,False,True,False,41045440,23677665.14359571,False,False,False,False,14291851.331111595,False,False,False,False
