date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_121,aVWAP_BoS_CHoCH_bull_165,aVWAP_BoS_CHoCH_bear_27,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2024-02-02 00:00:00+00:00,2.8990159173,3.0402017574,2.8237168025,3.0402017574,543944,,,3.095900884071337,3.085477809335502,#000000,0.36415914232474056,3.079333130332509,-0.4951604726477259,16,0.487232195814731,7.795715133035696,0.0,0.0,0.0,0.0,47.834408824807284,0.7924486393446486,False,True,False,False,False,0.0
2024-02-09 00:00:00+00:00,2.8143044132,2.9131345013,2.7954796345,2.8613663599,240390,,,3.0942156803505956,3.08161647069481,#000000,0.3646405986063875,3.06680946688924,-0.6924765225108884,16,0.49080808683568705,7.852929389370993,0.0,0.0,0.0,0.0,46.18831746762014,-0.8210622390798932,False,True,False,False,False,0.0
2024-02-16 00:00:00+00:00,2.8048920239,2.9272530853,2.7766548558,2.8048920239,245109,,,3.092488673261055,3.043308380822755,"rgba(239, 83, 80, 1.0)",0.36571509627364374,2.9835667934216277,-0.48856274007331546,16,0.49687701911705706,7.950032305872913,0.0,0.0,0.0,0.0,44.944497479000866,-2.018644835101746,False,True,False,True,False,0.0
2024-02-23 00:00:00+00:00,2.8801911386,2.9366654746,2.7766548558,2.7860672452,220952,,,3.0911209706469784,3.0204657704237263,"rgba(239, 83, 80, 1.0)",0.366184126458182,2.931903342366832,-0.14121913002347894,16,0.5004014783442688,8.006423653508302,0.0,0.0,0.0,0.0,44.82501344955234,-2.1436449793245558,False,True,False,True,False,0.0
2024-03-01 00:00:00+00:00,2.8801911386,2.9461719879,2.8425415812,2.8519539706,100623,,,3.090572005025625,3.021494670399151,"rgba(239, 83, 80, 1.0)",0.36403443938755115,2.9341507522863473,-0.14822667266626927,16,0.5024271973675031,8.03883515788005,0.0,0.0,0.0,0.0,44.73966771423196,-2.275911357167452,False,True,False,True,False,0.0
2024-03-08 00:00:00+00:00,2.8613663599,2.9177465721,2.7954796345,2.8990159173,162780,,,3.0895522817150716,3.019390205035715,"rgba(239, 83, 80, 1.0)",0.3644722482472806,2.930117087984796,-0.18863089965124405,16,0.5053547415023466,8.085675864037546,0.0,0.0,0.0,0.0,44.51198371870081,-2.5736990781336857,False,True,False,True,False,0.0
2024-03-15 00:00:00+00:00,2.8990159173,2.9189763547,2.7860672452,2.8425415812,381870,,,3.0872949378375214,3.016592932601635,"rgba(239, 83, 80, 1.0)",0.36346314677796365,2.9255847448137406,-0.07309909615120194,16,0.5053743235167548,8.085989176268077,0.0,0.0,0.0,0.0,44.786849208425444,-2.5736990781336857,False,True,False,True,False,0.0
2024-03-22 00:00:00+00:00,2.9940656195,2.9940656195,2.8609960364,2.9085208875,250597,,,3.0863810348806346,3.0197438467802704,#000000,0.36277215653129113,2.933448641251511,0.16709380021909365,16,0.5064213796647559,8.102742074636094,0.0,0.0,0.0,0.0,46.0550529489331,-2.5736990781336857,False,True,False,False,False,1.1428923127558335
2024-03-29 00:00:00+00:00,3.2411948452,3.2435710878,2.9655507088,3.0035705897,270254,,,3.0868342758382177,3.0327767035062587,#000000,0.3630778932822293,2.9624989371100083,0.767592610969995,16,0.5058505464611736,8.093608743378777,0.0,0.0,0.0,0.0,49.29419058161773,-3.60006788119923,False,False,False,False,True,4.11593956510449
2024-04-05 00:00:00+00:00,3.317234607,3.3267395772,3.1936699941,3.2411948452,221919,,,3.0879513366884113,3.045891284480345,#000000,0.3573396322249263,2.991423474318011,0.9117688140365814,17,0.5124621497257057,8.711856545336996,0.0,0.0,0.0,0.0,52.22085101459584,-0.8674276656299327,True,False,False,False,True,5.00063579081424
2024-04-12 00:00:00+00:00,3.1366401728,3.3362445474,3.0891153217,3.3267395772,190508,,,3.088444264106928,3.0520448031852956,#000000,0.34917362674409375,3.005356382879886,0.37598426646446226,17,0.5122802372691474,8.708764033575505,0.0,0.0,0.0,0.0,52.37926290955699,-0.8179712957495582,True,False,False,False,True,2.6518945079533935
2024-04-19 00:00:00+00:00,3.2506998154,3.2602047857,3.0225805301,3.1651550834,152712,,,3.0887982387824704,3.056025130556563,#000000,0.3465378102581212,3.0144479295092546,0.6817492316776963,17,0.5118233873742547,8.70099758536233,0.0,0.0,0.0,0.0,53.455426228796924,0.1658770525373825,True,False,False,False,True,3.9953707053337375
2024-04-26 00:00:00+00:00,3.231689875,3.3646644084,3.146145143,3.2792147261,203936,,,3.089633116937924,3.083248266833841,"rgba(38, 166, 154, 1.0)",0.34646692101774756,3.079384117689544,0.439596821719826,17,0.5114238977764124,8.69420626219901,1.0,0.0,3.3646643,145.0,54.02223501803478,0.6824090423569658,True,False,True,False,True,3.7466810360224088
