date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_276,aVWAP_BoS_CHoCH_bull_611,aVWAP_BoS_CHoCH_bear_149,aVWAP_BoS_CHoCH_bear_578,aVWAP_BoS_CHoCH_bear_615,aVWAP_BoS_CHoCH_bear_828,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-08-15 14:00:00+00:00,3.045,3.045,3.01,3.025,59751.0,3.1659060818871105,3.141171645697452,3.0966065513129837,3.13330655657234,3.1456304238548083,,3.1064919375011883,"rgba(38, 166, 154, 1.0)",0.09584648950038922,3.1064919375011883,-0.8502339305902018,1,0.33540418075020784,0.33540418075020784,0.0,0.0,0.0,0.0,50.07902630301298,3.601323834153014,False,False,False,False,True,0.40582374110486796
2025-08-15 15:00:00+00:00,3.025,3.03,3.02,3.025,6798.0,3.165860410376907,3.1411026650886074,3.0965875988624165,3.1332442617776737,3.145508070239204,,3.106431982865796,"rgba(38, 166, 154, 1.0)",0.09607968727210232,3.106431982865796,-0.8475462938922438,1,0.34485832868539174,0.34485832868539174,0.0,0.0,0.0,0.0,49.37865629022487,3.601323834153014,False,True,False,False,True,0.40582374110486796
2025-08-15 16:00:00+00:00,3.025,3.045,3.02,3.025,65766.0,3.165435723214935,3.1404680885827543,3.0964175335948694,3.132672949815111,3.1443856595289374,,3.1059648508051416,"rgba(38, 166, 154, 1.0)",0.09660372290588992,3.1059648508051416,-0.8381131530926257,1,0.3575993563030159,0.3575993563030159,0.0,0.0,0.0,0.0,48.911742948366125,2.8873288080528496,False,True,False,False,True,0.40582374110486796
2025-08-15 17:00:00+00:00,3.025,3.03,3.015,3.02,59151.0,3.1650326508771998,3.139860909922298,3.0962462157162056,3.1321232070859506,3.1433224159349837,,3.1054031404050924,"rgba(38, 166, 154, 1.0)",0.09705659164621776,3.1054031404050924,-0.8799313777305969,1,0.3724999551574085,0.3724999551574085,0.0,0.0,0.0,0.0,47.98603112884245,1.736521399432057,False,True,False,True,False,0.06318308732997124
2025-08-15 18:00:00+00:00,3.025,3.025,3.01,3.015,28953.0,3.1648293272640386,3.139553490247522,3.096157042899271,3.1318440102643486,3.142787556700485,,3.105093707282239,"rgba(38, 166, 154, 1.0)",0.09750065834842897,3.105093707282239,-0.9240317840755448,1,0.38322385186711005,0.38322385186711005,0.0,0.0,0.0,0.0,46.73174549013507,0.3135835367496753,False,True,False,True,False,0.0
2025-08-15 19:00:00+00:00,3.015,3.045,3.0,3.005,125791.0,3.163952386782398,3.1382354780951274,3.095771926181869,3.1306465089986397,3.140515277316269,,3.1038101666462765,"rgba(38, 166, 154, 1.0)",0.09781108837451767,3.1038101666462765,-1.0102143661660679,1,0.39726580713613086,0.39726580713613086,0.0,0.0,0.0,0.0,44.638554621674295,-1.8214991900736024,False,True,False,True,False,0.0
2025-08-18 14:00:00+00:00,2.985,3.015,2.975,3.015,63615.0,3.1634680765843735,3.137498717625377,3.0955419203202483,3.129971882807809,3.1392615961740313,,3.1029552336148076,"rgba(38, 166, 154, 1.0)",0.09820290632567609,3.1029552336148076,-0.8956479691458049,1,0.41051085584192093,0.41051085584192093,0.0,0.0,0.0,0.0,44.98057766654441,-1.8214991900736024,False,True,False,True,False,0.0
2025-08-18 15:00:00+00:00,3.015,3.015,3.0,3.005,12792.0,3.163374036794819,3.1373569434977897,3.0954982615613127,3.129842330490195,3.139021290739293,,3.102803278760583,"rgba(38, 166, 154, 1.0)",0.09851359260491234,3.102803278760583,-0.9927896869300248,1,0.4255013591407028,0.4255013591407028,0.0,0.0,0.0,0.0,43.84401995438293,-2.8587060655110292,False,True,False,True,False,0.0
2025-08-18 16:00:00+00:00,3.005,3.005,2.97,2.985,61230.0,3.1628682153763505,3.1365793599747227,3.095242961242114,3.1291258900057484,3.137711002243539,,3.1018005299321265,"rgba(38, 166, 154, 1.0)",0.09864546582548356,3.1018005299321265,-1.1840435741746276,1,0.4461559603697,0.4461559603697,0.0,0.0,0.0,0.0,40.7604184308352,-5.835256556388856,False,True,False,True,False,0.0
2025-08-18 17:00:00+00:00,2.985,2.99,2.98,2.98,10411.0,3.1627808763683025,3.1364450221373974,3.0951983423468596,3.1290019518292747,3.1374855838530187,,3.1016260412824623,"rgba(38, 166, 154, 1.0)",0.0987454184134959,3.1016260412824623,-1.2317132605905214,1,0.46708300131805847,0.46708300131805847,0.0,0.0,0.0,0.0,38.18486592935132,-8.220914147326653,False,True,False,True,False,0.0
