date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_33,aVWAP_BoS_CHoCH_bull_111,aVWAP_BoS_CHoCH_bear_43,aVWAP_BoS_CHoCH_bear_74,aVWAP_BoS_CHoCH_bear_115,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2024-09-13 00:00:00+00:00,1.97,2.06,1.825,2.06,894140,3.1560771113006196,2.539329141773266,2.8246273411215856,2.4633012733063437,2.613871411185346,2.7752564338539987,"rgba(239, 83, 80, 1.0)",0.27417972668038176,2.3494907534579896,-1.3840948711002679,5,0.3367355545806268,1.683677772903134,0.0,0.0,0.0,0.0,41.19057528139899,-3.00749663362447,False,True,False,True,False,0.0
2024-09-20 00:00:00+00:00,2.13,2.32,2.0,2.0,708229,3.1518222193600827,2.53211158788642,2.8212546544859607,2.4607017156431765,2.592524887354695,2.768999392219246,"rgba(239, 83, 80, 1.0)",0.27316958399797725,2.361637730200051,-0.8479631107164786,5,0.3358543876131056,1.6792719380655279,0.0,0.0,0.0,0.0,41.523026097130845,-3.00749663362447,False,True,False,True,False,0.0
2024-09-27 00:00:00+00:00,2.28,2.37,2.1,2.1,557208,3.148831475802967,2.528056044055386,2.819016548813517,2.4593351731569397,2.5805569452725146,2.76528251774611,"rgba(239, 83, 80, 0.5)",0.2725919631580959,2.2886981742262633,-0.03190913673863087,5,0.3367181792533439,1.6835908962667196,0.0,0.0,0.0,0.0,42.93867813395978,-3.00749663362447,False,False,False,True,False,0.0
2024-10-04 00:00:00+00:00,2.07,2.32,1.95,2.3,538759,3.1455217317318658,2.522370550208166,2.816353398058116,2.457178939894074,2.5652883272232607,2.7605064742890355,"rgba(239, 83, 80, 0.5)",0.2748596365780654,2.2672458305659227,-0.7176238498369012,5,0.33682162190469,1.68410810952345,0.0,0.0,0.0,0.0,42.663039656712584,-3.00749663362447,False,False,False,True,False,0.0
2024-10-11 00:00:00+00:00,2.11,2.18,2.0,2.05,601320,3.141793309247406,2.515954994816572,2.8133347316156443,2.4546887170129565,2.5487972163366606,2.7551832272788195,"rgba(239, 83, 80, 0.5)",0.277124683292731,2.253397794195416,-0.5174486534061026,5,0.33807502039618054,1.6903751019809028,0.0,0.0,0.0,0.0,42.78766448360744,-3.00749663362447,False,False,False,True,False,0.0
2024-10-18 00:00:00+00:00,1.94,2.125,1.82,2.08,2103869,3.1272961401564614,2.488192446184049,2.8010170780798154,2.443054783540148,2.4844325086076973,2.733291676842181,"rgba(239, 83, 80, 1.0)",0.28249072375746315,2.1860010856679413,-0.8708288980106456,5,0.33845416852524846,1.6922708426262423,0.0,0.0,0.0,0.0,41.87750794680332,-3.00749663362447,False,True,False,True,False,0.0
2024-10-25 00:00:00+00:00,1.88,1.98,1.83,1.94,569022,3.1232209140166307,2.480286317686117,2.7974932947220097,2.4395897384256253,2.4675071358939538,2.72718669332221,"rgba(239, 83, 80, 1.0)",0.28896721968773625,2.170127171356828,-1.0040141289048132,4,0.34586542911133655,1.3834617164453462,0.0,0.0,0.0,0.0,40.890550922715605,-3.9845534558866262,False,True,False,True,False,0.0
2024-11-01 00:00:00+00:00,1.75,1.99,1.67,1.98,824979,3.1169143168750924,2.4674178341209307,2.7919086435016482,2.4337930649611788,2.4408896938970805,2.626022211717553,"rgba(239, 83, 80, 1.0)",0.29857698540949634,1.9826199355903666,-0.7790953320508945,4,0.3530342569959728,1.4121370279838912,0.0,0.0,0.0,0.0,39.475941218050394,-5.518157128297943,False,True,False,True,False,0.0
2024-11-08 00:00:00+00:00,1.89,2.03,1.7,1.76,1023910,3.1095829792823046,2.453724520182311,2.785548659223492,2.4275265402267756,2.4139972157433913,2.620455220701036,"rgba(239, 83, 80, 1.0)",0.3041326761212794,1.97838988781904,-0.2906293692157983,4,0.3621571767176788,1.448628706870715,0.0,0.0,0.0,0.0,39.73591195046814,-5.518157128297943,False,True,False,True,False,0.0
2024-11-15 00:00:00+00:00,1.91,2.015,1.78,1.9,1265641,3.1008443875818803,2.4384315038748405,2.7780482789743073,2.420357847619134,2.385650581000618,2.6122575658060923,"rgba(239, 83, 80, 1.0)",0.3090457851149303,1.9740791060098095,-0.20734502489972276,4,0.36956563530552694,1.4782625412221078,0.0,0.0,0.0,0.0,40.10065634110698,-5.518157128297943,False,True,False,True,False,0.0
