date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_39,aVWAP_BoS_CHoCH_bull_74,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-04-25 00:00:00+00:00,9.83,9.83,9.81,9.82,29166,9.770674985112876,9.821727413269436,9.761337828711142,"rgba(0, 255, 255, 0.75)",0.03814211155499925,9.761337828711142,1.8001670198528625,0,,,0.0,0.0,0.0,0.0,65.35773829616252,11.005786744816945,True,False,True,False,True,20.0
2022-04-26 00:00:00+00:00,9.82,9.8299,9.82,9.8299,4822,9.771038049181566,9.821934945309579,9.761607414750854,"rgba(38, 166, 154, 1.0)",0.039176741445281146,9.761607414750854,1.490491120368049,0,,,0.0,0.0,0.0,0.0,65.00476796181198,11.005786744816945,True,False,True,False,True,17.42038111923546
2022-04-27 00:00:00+00:00,9.82,9.82,9.82,9.82,10060,9.771732776111884,9.82151722068428,9.76206778233228,"rgba(38, 166, 154, 1.0)",0.04013987871261208,9.76206778233228,1.4432584134719124,0,,,0.0,0.0,0.0,0.0,64.76945440557829,11.005786744816945,True,False,True,False,True,17.420381119235472
2022-04-28 00:00:00+00:00,9.82,9.82,9.82,9.82,10078,9.772409255076917,9.821247436643906,9.76253595589634,"rgba(38, 166, 154, 1.0)",0.04103655750976687,9.76253595589634,1.4003134665958274,0,,,0.0,0.0,0.0,0.0,64.61257870142249,11.005786744816945,True,False,True,False,True,17.42038111923546
2022-04-29 00:00:00+00:00,9.8,9.82,9.8,9.82,96390,9.77645858159751,9.812065572374625,9.764937581307752,"rgba(38, 166, 154, 0.5)",0.041448934695448386,9.764937581307752,0.8459184524252463,0,,,0.0,0.0,0.0,0.0,60.10719150989034,13.988057765715809,False,False,True,False,False,11.566538051532834
2022-05-02 00:00:00+00:00,9.82,9.82,9.82,9.82,7000,9.776829163981642,9.812412558282885,9.765258128684962,"rgba(38, 166, 154, 1.0)",0.04230852094016412,9.765258128684962,1.293873434915342,0,,,0.0,0.0,0.0,0.0,60.107052447011164,13.954426948984633,False,False,True,False,False,15.417472839716062
2022-05-03 00:00:00+00:00,9.8,9.82,9.8,9.82,10202,9.777194740255375,9.812068281953849,9.765533633803482,"rgba(38, 166, 154, 0.5)",0.04272085538334703,9.765533633803482,0.8067808073420235,0,,,0.0,0.0,0.0,0.0,56.730598252759265,10.729214261246135,False,True,True,False,False,10.14309649310523
2022-05-04 00:00:00+00:00,9.82,9.83,9.81,9.82,266813,9.787582406180395,9.816910131966084,9.777663733143843,"rgba(38, 166, 154, 0.5)",0.043495736023803806,9.777663733143843,0.9733429233842154,0,,,0.0,0.0,0.0,0.0,57.08715097931271,10.729214261246135,False,True,True,False,False,13.786758252164894
2022-05-05 00:00:00+00:00,9.82,9.82,9.8199,9.8199,200,9.787588295957208,9.816911529935679,9.777668974050055,"rgba(38, 166, 154, 0.5)",0.044043603988007524,9.777668974050055,0.9611163055927795,0,,,0.0,0.0,0.0,0.0,57.32485279701501,10.729214261246135,False,True,True,False,False,13.786758252164894
2022-05-06 00:00:00+00:00,9.82,9.82,9.82,9.82,10000,9.787880378284253,9.816980579664135,9.777929524926284,"rgba(38, 166, 154, 0.5)",0.044723149859256545,9.777929524926284,0.9406867630323826,0,,,0.0,0.0,0.0,0.0,57.48332067548321,10.729214261246135,False,True,True,False,False,13.786758252164894
2022-05-09 00:00:00+00:00,9.8,9.8,9.8,9.8,10895,9.787998213888386,9.816576798122414,9.777994801976678,#000000,0.04482090635905347,9.777994801976678,0.49095834535432953,0,,,0.0,0.0,0.0,0.0,54.269612912414026,8.126508921596539,False,True,True,False,False,8.785573872449106
2022-05-10 00:00:00+00:00,9.79,9.79,9.7801,9.79,38797,9.787954770597917,9.81424442231049,9.778297834175339,#000000,0.04469083736230887,9.778297834175339,0.26184709249886734,0,,,0.0,0.0,0.0,0.0,50.74682014123478,4.831079412785719,False,True,False,False,False,6.444944100548128
2022-05-11 00:00:00+00:00,9.79,9.79,9.79,9.79,10018,9.787972291836097,9.813765360268668,9.778324656590726,#000000,0.04445249664144704,9.778324656590726,0.2626476416711976,0,,,0.0,0.0,0.0,0.0,48.39829162711527,2.722701116166718,False,True,False,True,False,6.444944100548138
2022-05-12 00:00:00+00:00,9.79,9.79,9.79,9.79,215,9.78797266457593,9.813755286368943,9.778325093531887,#000000,0.04377628166069209,9.778325093531887,0.26669479510854677,0,,,0.0,0.0,0.0,0.0,46.8326059510356,1.3341377449953882,False,True,False,True,False,6.444944100548138
2022-05-13 00:00:00+00:00,9.79,9.79,9.79,9.79,16,9.78797269230923,9.813754537024804,9.778325125876025,#000000,0.04277953063606074,9.778325125876025,0.2729079527144932,0,,,0.0,0.0,0.0,0.0,45.78881550031582,0.37528888263415894,False,True,False,True,False,6.444944100548128
2022-05-16 00:00:00+00:00,9.79,9.79,9.79,9.79,17,9.787972721775029,9.813753740898454,9.778325160215678,#000000,0.04169681591750002,9.778325160215678,0.27999355652049884,0,,,0.0,0.0,0.0,0.0,45.09295519983597,-0.3309978837322163,False,True,False,True,False,6.444944100548128
2022-05-17 00:00:00+00:00,9.79,9.79,9.79,9.79,15,9.787972747773553,9.813753038478342,9.778325190493156,#000000,0.04052124732390302,9.778325190493156,0.28811574859780387,0,,,0.0,0.0,0.0,0.0,44.6290483328494,-0.8905988607919824,False,True,False,True,False,6.444944100548128
2022-05-18 00:00:00+00:00,9.79,9.79,9.79,9.79,15,9.78797277377141,9.813752336099771,9.778325220749839,#000000,0.04003202263234109,9.778325220749839,0.2916360074379244,0,,,0.0,0.0,0.0,0.0,44.319777088191685,-1.3650059894556819,False,True,False,True,False,6.444944100548138
2022-05-19 00:00:00+00:00,9.79,9.79,9.79,9.79,15,9.7879727997686,9.813751633762738,9.778325250985748,#000000,0.039499813524480114,9.778325250985748,0.29556466151454996,0,,,0.0,0.0,0.0,0.0,44.113596258419875,-1.7885499173715758,False,True,False,True,False,6.444944100548138
2022-05-20 00:00:00+00:00,9.79,9.79,9.79,9.79,15,9.787972825765122,9.813750931467238,9.778325281200907,#000000,0.03892285680653743,9.778325281200907,0.2999450645958639,0,,,0.0,0.0,0.0,0.0,43.97614237190534,-2.179325182171297,False,True,False,True,False,6.444944100548138
2022-05-23 00:00:00+00:00,9.79,9.79,9.79,9.79,14,9.787972850027943,9.813750276028909,9.778325309383026,#000000,0.03829913023264123,9.778325309383026,0.30482913178594023,0,,,0.0,0.0,0.0,0.0,43.884506447562316,-2.546034971237212,False,True,False,True,False,6.444944100548128
2022-05-24 00:00:00+00:00,9.79,9.79,9.79,9.79,14,9.787972874290183,9.813749620626753,9.778325337547116,#000000,0.03762630798062031,9.778325337547116,0.31027924554532615,0,,,0.0,0.0,0.0,0.0,43.823415831333634,-2.8922098472044198,False,True,False,True,False,6.444944100548128
2022-05-25 00:00:00+00:00,9.79,9.79,9.79,9.79,0,9.787972874290183,9.813749620626753,9.778325337547116,#000000,0.03732167869886271,9.778325337547116,0.3128118257241927,0,,,0.0,0.0,0.0,0.0,43.78268875384785,-3.218750801980967,False,True,False,True,False,6.444944100548128
2022-05-26 00:00:00+00:00,9.79,9.79,9.79,9.79,15,9.787972900284794,9.813748918450298,9.778325367702939,#000000,0.03699068239143508,9.778325367702939,0.31561008184491895,4,0.24712317095176234,0.9884926838070494,0.0,0.0,0.0,0.0,43.755537368857325,-3.525414776456735,False,True,False,True,False,6.444944100548128
2022-05-27 00:00:00+00:00,9.79,9.79,9.79,9.79,15,9.78797292627874,9.81374821631536,9.77832539783811,#000000,0.03663260434232247,9.77832539783811,0.31869429901279217,4,0.24699281185113428,0.9879712474045371,0.0,0.0,0.0,0.0,43.73743644553031,-3.81164236150142,False,True,False,True,False,6.444944100548138
2022-05-31 00:00:00+00:00,9.79,9.79,9.79,9.79,0,9.78797292627874,9.81374821631536,9.77832539783811,#000000,0.03603950220132297,9.77832539783811,0.32393905156272834,4,0.2469301699189228,0.9877206796756912,0.0,0.0,0.0,0.0,43.725369163312294,-4.076984251754318,False,True,False,True,False,6.444944100548128
